query,product_id,product_title,product_brand,product_color,product,esci
led strip,B0852XKR41,"product_title QZYL Led Lights for Bedroom,49.2 Feet Led Strip Lights,Music Sync Color Changing Flexible Rope Lights with Remote App Control Luces Led Strips Lights for Party Home Decoration……",product_brand QZYL,product_color Multicolor,"product_title QZYL Led Lights for Bedroom,49.2 Feet Led Strip Lights,Music Sync Color Changing Flexible Rope Lights with Remote App Control Luces Led Strips Lights for Party Home Decoration……product_brand QZYLproduct_color Multicolor",E
pumpkin halloween long sleeve,B08J3WXBV9,"product_title Funny Halloween Shirt for Women Long Sleeve Halloween Raglan Baseball Tee Shirt Top (Leopard-Black, Medium)",product_brand JINTING,product_color Leopard-black,"product_title Funny Halloween Shirt for Women Long Sleeve Halloween Raglan Baseball Tee Shirt Top (Leopard-Black, Medium)product_brand JINTINGproduct_color Leopard-black",E
sonoma socks womens,B01H3YIL2E,"product_title Champion Women's Fleece Open Bottom Pant, Granite Heather, Medium",product_brand Champion,product_color Granite Heather,"product_title Champion Women's Fleece Open Bottom Pant, Granite Heather, Mediumproduct_brand Championproduct_color Granite Heather",I
100v-240v power bank,B07Q3KQVP1,"product_title Cellphone Charger, Portable 5V 30W 5-USB Port Smart Quick Charger with Charging Cable for Smartphones & Tablets & Power Bank & Bluetooth Headset, 100-240V Wide Voltage, EU Plug",product_brand HN-Cellphone Charger,product_color None,"product_title Cellphone Charger, Portable 5V 30W 5-USB Port Smart Quick Charger with Charging Cable for Smartphones & Tablets & Power Bank & Bluetooth Headset, 100-240V Wide Voltage, EU Plugproduct_brand HN-Cellphone Chargerproduct_color None",E
gopro waterproof selfie stick,B0796SXMP2,product_title Waterproof Floating Hand Grip Compatible with GoPro Hero 10 9 8 7 6 5 4 3+ 2 1 Session Black Silver Camera Handler & Handle Mount Accessories Kit for Water Sport and All Action Cameras (Blue),product_brand MiPremium,product_color Blue,product_title Waterproof Floating Hand Grip Compatible with GoPro Hero 10 9 8 7 6 5 4 3+ 2 1 Session Black Silver Camera Handler & Handle Mount Accessories Kit for Water Sport and All Action Cameras (Blue)product_brand MiPremiumproduct_color Blue,S
paint for fabric permanent,B07CZHCWBZ,"product_title Magicdo Permanent Fabric Paint Set, 18 Colors Acrylic Testile Paints with a Paint Tray Palette,No Heating Needed & Washable Fabric Paint for Clothes, Canvas, T-Shirts, Jeans, Bags, All DIY Projects",product_brand Magicdo,product_color 18 Colors Fabric Paint,"product_title Magicdo Permanent Fabric Paint Set, 18 Colors Acrylic Testile Paints with a Paint Tray Palette,No Heating Needed & Washable Fabric Paint for Clothes, Canvas, T-Shirts, Jeans, Bags, All DIY Projectsproduct_brand Magicdoproduct_color 18 Colors Fabric Paint",E
pixel 3 back glass,B07W1KRVKM,product_title SWARK Replacement Battery Door Back Cover Compatible with Google Pixel 3 XL Replacement Real Glass Battery Back Cover Housing Door (Black),product_brand SWARK,product_color None,product_title SWARK Replacement Battery Door Back Cover Compatible with Google Pixel 3 XL Replacement Real Glass Battery Back Cover Housing Door (Black)product_brand SWARKproduct_color None,E
david bowie poster,B07YCG8YJM,product_title David Bowie Poster - Bedroom Wall Print - Geometric Illustration - Present for Friend (11x14),product_brand PGbureau,product_color None,product_title David Bowie Poster - Bedroom Wall Print - Geometric Illustration - Present for Friend (11x14)product_brand PGbureauproduct_color None,E
fortnite ikonik costume for boys,B07ZGB587S,"product_title Epic Games Fortnite Dress Like Rex Men's Union Suit Costume, Large Green",product_brand Epic Games,product_color Green,"product_title Epic Games Fortnite Dress Like Rex Men's Union Suit Costume, Large Greenproduct_brand Epic Gamesproduct_color Green",E
two photo frame,B001ECRPWE,"product_title Malden Double 2x3 Picture Frame - Wide Real Wood Molding, Real Glass - Black",product_brand Malden International Designs,product_color Black,"product_title Malden Double 2x3 Picture Frame - Wide Real Wood Molding, Real Glass - Blackproduct_brand Malden International Designsproduct_color Black",E
long leg boxer briefs for men,B075FMQNPR,"product_title Gildan Men's Cotton Spandex Athletic Long Leg Boxer Briefs, 3-Pack, Black/Royal/Graphite Heather, Extra Large",product_brand Gildan,product_color Black/Royal/Graphite Heather,"product_title Gildan Men's Cotton Spandex Athletic Long Leg Boxer Briefs, 3-Pack, Black/Royal/Graphite Heather, Extra Largeproduct_brand Gildanproduct_color Black/Royal/Graphite Heather",E
serving,B07Q9YSP22,product_title Samoii 2 Pairs Creative Natural Handmade Wood Bamboo Chopsticks Gift Tableware Chopsticks,product_brand Samoii,product_color A,product_title Samoii 2 Pairs Creative Natural Handmade Wood Bamboo Chopsticks Gift Tableware Chopsticksproduct_brand Samoiiproduct_color A,I
iphone adapter,B08CVJ36GK,product_title Headphone Adapter for iPhone Charger Jack AUX Audio 3.5 mm Jack Adapter for iPhone Adapter Compatible with iPhone 11/7/7 Plus/8/8 P lus/X/10/XSMAX Dongle Accessory Connector Compatible All iOS Systems,product_brand Deerma,product_color None,product_title Headphone Adapter for iPhone Charger Jack AUX Audio 3.5 mm Jack Adapter for iPhone Adapter Compatible with iPhone 11/7/7 Plus/8/8 P lus/X/10/XSMAX Dongle Accessory Connector Compatible All iOS Systemsproduct_brand Deermaproduct_color None,E
12 oz hydroflask,B07KLXLLW9,product_title HYDRO CELL Stainless Steel Water Bottle w/ Straw & Wide Mouth Lids (64oz 40oz 32oz 24oz 18oz 14oz) - Keeps Liquids Perfectly Hot or Cold with Double Wall Vacuum Insulated Sweat Proof Sport Design (White/Pink 18 oz),product_brand HYDRO CELL,product_color White/Pink,product_title HYDRO CELL Stainless Steel Water Bottle w/ Straw & Wide Mouth Lids (64oz 40oz 32oz 24oz 18oz 14oz) - Keeps Liquids Perfectly Hot or Cold with Double Wall Vacuum Insulated Sweat Proof Sport Design (White/Pink 18 oz)product_brand HYDRO CELLproduct_color White/Pink,S
led solar christmas lights,B0749LS3Q8,product_title VMANOO Solar Outdoor String Christmas Lights 72Ft 200 LED 8 Modes Patio Lighting for Outside Yard Gazebo Party Wedding Tents Porch Xmas Garden Backyard Tree Decorations Indoor Balcony Decor Lights,product_brand VMANOO,product_color S11 Warm White 2pack,product_title VMANOO Solar Outdoor String Christmas Lights 72Ft 200 LED 8 Modes Patio Lighting for Outside Yard Gazebo Party Wedding Tents Porch Xmas Garden Backyard Tree Decorations Indoor Balcony Decor Lightsproduct_brand VMANOOproduct_color S11 Warm White 2pack,E
olympic weights set,B07YNS4MND,"product_title Adaptive Utensils 4-Piece Kitchen Set, Wide, Non-Weighted, Non-Slip Handle for Shaking Hand Tremors, Arthritis, Parkinsons, Elderly Use, Aid Handicapped, Easy Grip, Stainless Steel Knife, Fork, Spoons",product_brand Vincere Silverware,product_color Grey,"product_title Adaptive Utensils 4-Piece Kitchen Set, Wide, Non-Weighted, Non-Slip Handle for Shaking Hand Tremors, Arthritis, Parkinsons, Elderly Use, Aid Handicapped, Easy Grip, Stainless Steel Knife, Fork, Spoonsproduct_brand Vincere Silverwareproduct_color Grey",I
persona 5,B082MVTZ8N,product_title Kamoshida's Crime,product_brand None,product_color None,product_title Kamoshida's Crimeproduct_brand Noneproduct_color None,E
dead kennedys,B0096PVJDC,product_title Impact Distressed Dead Kennedys T-Shirt Black (X-Large),product_brand Impact Merchandising,"product_color X-large,black","product_title Impact Distressed Dead Kennedys T-Shirt Black (X-Large)product_brand Impact Merchandisingproduct_color X-large,black",E
ford flex passenger door hande,B01A1IJ678,"product_title Motor Trend 923-GR Gray FlexTough Contour Liners-Deep Dish Heavy Duty Rubber Floor Mats for Car SUV Truck & Van-All Weather Protection, Universal Trim to Fit",product_brand Motor Trend,product_color Gray,"product_title Motor Trend 923-GR Gray FlexTough Contour Liners-Deep Dish Heavy Duty Rubber Floor Mats for Car SUV Truck & Van-All Weather Protection, Universal Trim to Fitproduct_brand Motor Trendproduct_color Gray",I
men pre-shave oil,B002T5IMDG,"product_title Pacific Shaving Company Natural Shaving Oil - Helps Eliminate Nicks, & Razor Burn, Soothes & Moisturizes Skin, Reduces Irritation with Safe, Made in USA, 0.5 Oz",product_brand Pacific Shaving Company,product_color None,"product_title Pacific Shaving Company Natural Shaving Oil - Helps Eliminate Nicks, & Razor Burn, Soothes & Moisturizes Skin, Reduces Irritation with Safe, Made in USA, 0.5 Ozproduct_brand Pacific Shaving Companyproduct_color None",S
dc action figures 6 inch,B075VY8DJQ,product_title DC COMICS Multiverse GOTHAM CITY GASLIGHT BATMAN Figure,product_brand DC Comics,product_color Brown/a,product_title DC COMICS Multiverse GOTHAM CITY GASLIGHT BATMAN Figureproduct_brand DC Comicsproduct_color Brown/a,E
covered baker 12,B00HTJTPVU,product_title By Pampered Chef - Pampered Chef Dinner in Your Deep Covered Baker (1ST) (12.2.2010),product_brand None,product_color None,product_title By Pampered Chef - Pampered Chef Dinner in Your Deep Covered Baker (1ST) (12.2.2010)product_brand Noneproduct_color None,E
nfl,B073XGW68C,"product_title OTS NFL Pittsburgh Steelers Men's Slub Long Sleeve Team Name Tee, Distressed Sinclair, Small",product_brand OTS,product_color Distressed Sinclair,"product_title OTS NFL Pittsburgh Steelers Men's Slub Long Sleeve Team Name Tee, Distressed Sinclair, Smallproduct_brand OTSproduct_color Distressed Sinclair",E
zbrush for beginners,B07BNC25QH,"product_title Pixologic ZBrush 4R8: A Comprehensive Guide, 4th Edition",product_brand None,product_color None,"product_title Pixologic ZBrush 4R8: A Comprehensive Guide, 4th Editionproduct_brand Noneproduct_color None",E
girls school uniform shoes,B07LB351Y1,"product_title Skechers Kids Girls MICROSTRIDES Sneaker, Black/Black, 12 Little Kid",product_brand Skechers,product_color Black/Black,"product_title Skechers Kids Girls MICROSTRIDES Sneaker, Black/Black, 12 Little Kidproduct_brand Skechersproduct_color Black/Black",I
boys shorts youth large,B07PT899BR,"product_title Under Armour Boys' Prototype Supersized Workout Gym Shorts , Black (001)/White , Youth Large",product_brand Under Armour,product_color Black (001)/White,"product_title Under Armour Boys' Prototype Supersized Workout Gym Shorts , Black (001)/White , Youth Largeproduct_brand Under Armourproduct_color Black (001)/White",E
razer viper,B088WV9RH4,product_title Razer Gigantus V2 Soft Mouse Mat XXL + Viper Ultimate w/o Dock Gaming Mouse Bundle,product_brand Razer,product_color None,product_title Razer Gigantus V2 Soft Mouse Mat XXL + Viper Ultimate w/o Dock Gaming Mouse Bundleproduct_brand Razerproduct_color None,E
coffee rable tray,B07B54Q139,product_title MyGift Whitewashed Wood Serving Tray - Wooden Farmhouse Coffee Table Tray with Cut-out Handles and Angled Edges,product_brand MyGift,product_color Whitewashed,product_title MyGift Whitewashed Wood Serving Tray - Wooden Farmhouse Coffee Table Tray with Cut-out Handles and Angled Edgesproduct_brand MyGiftproduct_color Whitewashed,E
waterproof work boots men slip on,B078HRMJTT,"product_title Timberland Men's Mt. Maddsen Slip On Hiking Shoe, dark brown, 12 Medium US",product_brand Timberland,product_color Dark Brown,"product_title Timberland Men's Mt. Maddsen Slip On Hiking Shoe, dark brown, 12 Medium USproduct_brand Timberlandproduct_color Dark Brown",E
lg 6 lg 6 cell phone,B07RG7G16R,"product_title LG V35 ThinQ (64GB, 6GB RAM) 6.0"" QHD+ FullVision, Dual Camera, 4G LTE GSM AT&T Unlocked Smartphone US Warranty (Black)",product_brand LG,product_color Black,"product_title LG V35 ThinQ (64GB, 6GB RAM) 6.0"" QHD+ FullVision, Dual Camera, 4G LTE GSM AT&T Unlocked Smartphone US Warranty (Black)product_brand LGproduct_color Black",S
newborn holiday outfits,B097Y1J2DJ,"product_title Newborn Baby Boy Clothes New to The Crew Long Sleeve Romper Stripe Pants Hat Toddler Baby Boy Clothes Outfits Set (White, 0-3 Months)",product_brand DOOLECK,product_color None,"product_title Newborn Baby Boy Clothes New to The Crew Long Sleeve Romper Stripe Pants Hat Toddler Baby Boy Clothes Outfits Set (White, 0-3 Months)product_brand DOOLECKproduct_color None",S
8 oz jars,B07S7YSNP5,"product_title Glass Mason Jars (12 Pack) - Regular Mouth Jam Jelly Jars, Metal Airtight Lid, USDA Approved Dishwasher Safe USA Made Pickling, Preserving, Decorating, Canning Jar, Craft and Dry Food Storage (8 Ounce)",product_brand Paksh Novelty,product_color Clear,"product_title Glass Mason Jars (12 Pack) - Regular Mouth Jam Jelly Jars, Metal Airtight Lid, USDA Approved Dishwasher Safe USA Made Pickling, Preserving, Decorating, Canning Jar, Craft and Dry Food Storage (8 Ounce)product_brand Paksh Noveltyproduct_color Clear",E
no 7 skin care,B014PGEEO2,"product_title Tree of Life Anti-Aging Complete Regimen 3-Pack, Vitamin C Serum, Retinol Serum and Hyaluronic Acid Serum, Renew, Revitalize and Brighten, 3 Count x 1 Fl Oz",product_brand Flawless. Younger. Perfect.,product_color None,"product_title Tree of Life Anti-Aging Complete Regimen 3-Pack, Vitamin C Serum, Retinol Serum and Hyaluronic Acid Serum, Renew, Revitalize and Brighten, 3 Count x 1 Fl Ozproduct_brand Flawless. Younger. Perfect.product_color None",S
kraft mac and cheese,B005ECO3H0,product_title Kraft Easy Mac Original Macaroni & Cheese Microwavable Dinner (18 ct Packets),product_brand Kraft,product_color None,product_title Kraft Easy Mac Original Macaroni & Cheese Microwavable Dinner (18 ct Packets)product_brand Kraftproduct_color None,E
intermediate algebra college book,0534417957,product_title Understanding Intermediate Algebra : A Course for College Students (Sixth Edition with CD-ROM) (Available Titles CengageNOW),product_brand Brand:,product_color None,product_title Understanding Intermediate Algebra : A Course for College Students (Sixth Edition with CD-ROM) (Available Titles CengageNOW)product_brand Brand:product_color None,E
field interview cards,B00P6U8YSO,"product_title Portage Public Safety Police Field Interview Notebook – Top Bound Spiral Notebook, Writing Pad with Template for Interviews, Accidents & Incident Reports, Field Notes Book for Police – 3.75 x 6 Inches, 70 Sheets, 140 Pages, (Pack of 12)",product_brand Portage,product_color None,"product_title Portage Public Safety Police Field Interview Notebook – Top Bound Spiral Notebook, Writing Pad with Template for Interviews, Accidents & Incident Reports, Field Notes Book for Police – 3.75 x 6 Inches, 70 Sheets, 140 Pages, (Pack of 12)product_brand Portageproduct_color None",E
molar toy,B00913DY1O,"product_title Comotomo Silicone Baby Teether, Blue, 1.75x1.75x3 Inch (Pack of 1)",product_brand Comotomo,product_color Blue,"product_title Comotomo Silicone Baby Teether, Blue, 1.75x1.75x3 Inch (Pack of 1)product_brand Comotomoproduct_color Blue",S
bodyglove swim shirt,B07GV5BPGK,"product_title Body Glove Women's Standard Motion Short Sleeve Rashguard with UPF 50, Smoothies Black I, Medium",product_brand Body Glove,product_color Smoothies Black I,"product_title Body Glove Women's Standard Motion Short Sleeve Rashguard with UPF 50, Smoothies Black I, Mediumproduct_brand Body Gloveproduct_color Smoothies Black I",E
car sun shade for windshield,B087R9PLRT,"product_title ELEQIN Woman Eye with Long Eyelashes Front Windshield Shade Makeup Pink Glitters Eyeshadows Print Accordion Folding Auto Sunshade for Car Truck SUV,Gray",product_brand ELEQIN,product_color design-3,"product_title ELEQIN Woman Eye with Long Eyelashes Front Windshield Shade Makeup Pink Glitters Eyeshadows Print Accordion Folding Auto Sunshade for Car Truck SUV,Grayproduct_brand ELEQINproduct_color design-3",E
weighted blanket plush washable,B07WSZQCNX,"product_title CHIAVE Weighted Blanket 20 lbs 60""x80"" Queen Size | for Adults from 175 to 230 lbs | Removable and Washable Plush Minky Cover - Navy & White",product_brand CHIAVE,"product_color Navy,white","product_title CHIAVE Weighted Blanket 20 lbs 60""x80"" Queen Size | for Adults from 175 to 230 lbs | Removable and Washable Plush Minky Cover - Navy & Whiteproduct_brand CHIAVEproduct_color Navy,white",E
cloth menstrual pads,B077JMB8F3,"product_title wegreeco Bamboo Reusable Sanitary Pads (Stylish Pattern) - Cloth Sanitary Pads | Light Incontinence Pads | Reusable Menstrual Pads - 5 Pack Pads, 1 Cloth Mini Wet Bag (Small, Dynamic)",product_brand wegreeco,product_color Dynamic,"product_title wegreeco Bamboo Reusable Sanitary Pads (Stylish Pattern) - Cloth Sanitary Pads | Light Incontinence Pads | Reusable Menstrual Pads - 5 Pack Pads, 1 Cloth Mini Wet Bag (Small, Dynamic)product_brand wegreecoproduct_color Dynamic",E
foam roller for physical therapy & exercise,B07V1PVP16,"product_title Gaiam Essentials Foam Roller, High Density, 18 Inch, Black",product_brand Gaiam Essentials,product_color 18-inch | Black,"product_title Gaiam Essentials Foam Roller, High Density, 18 Inch, Blackproduct_brand Gaiam Essentialsproduct_color 18-inch | Black",E
basket bed tray,B07R5PCZLY,"product_title EZDC Wooden Tray, Coffee Table Tray, Ottoman Tray Dark Brown 16 x 12” Modern Aesthetic Decorative Serving Tray with Handles for Drinks and Food",product_brand EZDC,product_color Black,"product_title EZDC Wooden Tray, Coffee Table Tray, Ottoman Tray Dark Brown 16 x 12” Modern Aesthetic Decorative Serving Tray with Handles for Drinks and Foodproduct_brand EZDCproduct_color Black",E
wall post it notes wall pads,B00EDQFAPC,"product_title Business Source 25""x30"" Self-Stick Easel Pads, 4/Pack (38592)",product_brand Business Source,product_color White,"product_title Business Source 25""x30"" Self-Stick Easel Pads, 4/Pack (38592)product_brand Business Sourceproduct_color White",E
straight bong,B07RYF29RT,product_title Glass Tube Stem (Straight) Steam Directional Chemistry Tube (110mm) 3 Packs,product_brand Pack4Life,product_color None,product_title Glass Tube Stem (Straight) Steam Directional Chemistry Tube (110mm) 3 Packsproduct_brand Pack4Lifeproduct_color None,E
iphone 7 plud phone case,B072V1RCPK,"product_title TEAM LUXURY iPhone 8 Plus case, iPhone 7 Plus case [Clarity Series] Updated [G-II] Ultra Defender TPU + PC Shock Absorbent Protective Case - for Apple iPhone 7 Plus & 8 Plus 5.5"" (Soft Mint/Gray)",product_brand TEAM LUXURY,product_color Soft Mint/ Gray,"product_title TEAM LUXURY iPhone 8 Plus case, iPhone 7 Plus case [Clarity Series] Updated [G-II] Ultra Defender TPU + PC Shock Absorbent Protective Case - for Apple iPhone 7 Plus & 8 Plus 5.5"" (Soft Mint/Gray)product_brand TEAM LUXURYproduct_color Soft Mint/ Gray",E
advent calendar paw patrol,B079NY74MH,product_title PLAYMOBIL NHL Advent Calendar - Road to The Cup,product_brand PLAYMOBIL,product_color Multicolor,product_title PLAYMOBIL NHL Advent Calendar - Road to The Cupproduct_brand PLAYMOBILproduct_color Multicolor,S
chopard womens watches,B088KS23R2,product_title Chopard Rose Gold Floating Happy Diamonds Icons Green Dial Watch,product_brand Chopard,product_color None,product_title Chopard Rose Gold Floating Happy Diamonds Icons Green Dial Watchproduct_brand Chopardproduct_color None,E
tag heuer gold watches men,B07H5F43N3,product_title selizo Watch Link Remover kit Watch Band Tool with 10 Extra Pins for Watch Band Link Pin Removal and Watch Sizing,product_brand selizo,product_color None,product_title selizo Watch Link Remover kit Watch Band Tool with 10 Extra Pins for Watch Band Link Pin Removal and Watch Sizingproduct_brand selizoproduct_color None,I
washable sneakers women,B07BKMLJLR,"product_title Skechers Women's Summits-Quick Getaway Sneaker, Black/Light Blue, 9.5 M US",product_brand Skechers,product_color Black/Light Blue,"product_title Skechers Women's Summits-Quick Getaway Sneaker, Black/Light Blue, 9.5 M USproduct_brand Skechersproduct_color Black/Light Blue",E
10mm ball earrings for women,B07C4Z59VN,product_title Ross-Simons Italian 8mm 18kt Yellow Gold Ball Stud Earrings,product_brand Ross-Simons,product_color Yellow,product_title Ross-Simons Italian 8mm 18kt Yellow Gold Ball Stud Earringsproduct_brand Ross-Simonsproduct_color Yellow,S
most expensive adidas backpacks,B07K4C5MCB,"product_title adidas Unisex Prime Backpack, Black Jersey/Active Red, One Size",product_brand adidas,product_color Black Jersey/Active Red,"product_title adidas Unisex Prime Backpack, Black Jersey/Active Red, One Sizeproduct_brand adidasproduct_color Black Jersey/Active Red",E
websters spanish english dictionary for students,0877792976,"product_title Merriam-Webster's Word-for-Word Spanish-English Dictionary, Mass-Market Paperback (Spanish and English Edition)",product_brand MERRIAM - WEBSTER INC.,product_color None,"product_title Merriam-Webster's Word-for-Word Spanish-English Dictionary, Mass-Market Paperback (Spanish and English Edition)product_brand MERRIAM - WEBSTER INC.product_color None",E
05 tahoe side mirror not heated,B009IFIETM,"product_title Driver Side Heated Mirror Glass w/ backing plate, Cadillac Escalade, Chevrolet Avalanche, Silverado, GMC Sierra, Silverado, Sierra Classic, Suburban, Tahoe, Yukon, 6 9/ 16"" x 10 1/ 8"" x 10 3/ 4""",product_brand Fit System,product_color None,"product_title Driver Side Heated Mirror Glass w/ backing plate, Cadillac Escalade, Chevrolet Avalanche, Silverado, GMC Sierra, Silverado, Sierra Classic, Suburban, Tahoe, Yukon, 6 9/ 16"" x 10 1/ 8"" x 10 3/ 4""product_brand Fit Systemproduct_color None",E
alphabet arc,B07NTWLSXM,"product_title Inspired Thinkers Magnetic Letters - 240-Piece Alphabet Magnets for Kids w/ Foam Uppercase & Lowercase Letters, Double-Sided Dry Erase White Board - Classroom Supplies",product_brand Inspired Thinkers,product_color Red/Blue,"product_title Inspired Thinkers Magnetic Letters - 240-Piece Alphabet Magnets for Kids w/ Foam Uppercase & Lowercase Letters, Double-Sided Dry Erase White Board - Classroom Suppliesproduct_brand Inspired Thinkersproduct_color Red/Blue",S
hell costume,B00UI3C61A,"product_title Rubie's Men's Mauled Ringmaster Costume, Multi, Standard",product_brand Rubie's,product_color As Shown,"product_title Rubie's Men's Mauled Ringmaster Costume, Multi, Standardproduct_brand Rubie'sproduct_color As Shown",E
laptop,B07TWHYTSQ,"product_title Lenovo Flex 14 2-in-1 Convertible Laptop, 14 Inch FHD Touchscreen Display, AMD Ryzen 5 3500U Processor, 12GB DDR4 RAM, 256GB NVMe SSD, Windows 10, 81SS000DUS, Black, Pen Included",product_brand Lenovo,product_color Onyx Black,"product_title Lenovo Flex 14 2-in-1 Convertible Laptop, 14 Inch FHD Touchscreen Display, AMD Ryzen 5 3500U Processor, 12GB DDR4 RAM, 256GB NVMe SSD, Windows 10, 81SS000DUS, Black, Pen Includedproduct_brand Lenovoproduct_color Onyx Black",E
prime readibg,B07FDDPFPN,product_title The Victory Garden: A Novel,product_brand None,product_color None,product_title The Victory Garden: A Novelproduct_brand Noneproduct_color None,E
kids false nail,B019VXFEQ6,"product_title Kiss Products Acrylic, Nude French Nails single, N1 64266 KAN01 Nude French single, 28 Count (KAN01GT)",product_brand KISS,product_color N1 64266 KAN01 Nude French single,"product_title Kiss Products Acrylic, Nude French Nails single, N1 64266 KAN01 Nude French single, 28 Count (KAN01GT)product_brand KISSproduct_color N1 64266 KAN01 Nude French single",E
microsoft surface computer cover 13.5,B07CM49RSR,"product_title Alapmk Protective Case Cover for 13.5"" Microsoft Surface Laptop/Surface Laptop 2 2018/Surface Laptop 3 2019/Surface Laptop 4 13.5 (Not fit Surface Laptop 3 15 inch/Surface Laptop Go),Red",product_brand Alapmk,product_color Red,"product_title Alapmk Protective Case Cover for 13.5"" Microsoft Surface Laptop/Surface Laptop 2 2018/Surface Laptop 3 2019/Surface Laptop 4 13.5 (Not fit Surface Laptop 3 15 inch/Surface Laptop Go),Redproduct_brand Alapmkproduct_color Red",E
slate digital vms ml-1,B0948BRTM4,"product_title ROCCAT Torch USB Microphone, Studio-Grade Audio, PC Computer Gaming Wired Mic, RGB AIMO Lighting with Indicator, For Streaming, Recording, Podcasting, Quick Mute, Boom Arm Compatible, Black",product_brand ROCCAT,product_color Black,"product_title ROCCAT Torch USB Microphone, Studio-Grade Audio, PC Computer Gaming Wired Mic, RGB AIMO Lighting with Indicator, For Streaming, Recording, Podcasting, Quick Mute, Boom Arm Compatible, Blackproduct_brand ROCCATproduct_color Black",S
k60 ridgid parts,B000WT6U8U,"product_title RIDGID 32985 Model 104 Close Quarters Tubing Cutter, 3/16-inch to 15/16-inch Tube Cutter",product_brand Ridgid,product_color 1,"product_title RIDGID 32985 Model 104 Close Quarters Tubing Cutter, 3/16-inch to 15/16-inch Tube Cutterproduct_brand Ridgidproduct_color 1",I
energy drinks without caffeine,B07LGCPGHL,"product_title CLEAN Cause Low Calorie Lemon Lime USDA Organic Sparkling Yerba Mate Tea - Low Sugar, 160mg Caffeine, 16oz cans, 12-Pack. Healthy alternative to soda & energy drinks.",product_brand CLEAN CAUSE.,product_color Clear,"product_title CLEAN Cause Low Calorie Lemon Lime USDA Organic Sparkling Yerba Mate Tea - Low Sugar, 160mg Caffeine, 16oz cans, 12-Pack. Healthy alternative to soda & energy drinks.product_brand CLEAN CAUSE.product_color Clear",E
bubba blade,B00987L3O8,"product_title Bubba 7 Inch Tapered Flex Fillet Fishing Knife with Non-Slip Grip Handle, Full Tang Stainless Steel Non-Stick Blade, Lanyard Hole and Synthetic Sheath for Fishing, Boating and Hunting",product_brand Bubba,product_color Red-Gray,"product_title Bubba 7 Inch Tapered Flex Fillet Fishing Knife with Non-Slip Grip Handle, Full Tang Stainless Steel Non-Stick Blade, Lanyard Hole and Synthetic Sheath for Fishing, Boating and Huntingproduct_brand Bubbaproduct_color Red-Gray",E
girl toys,B07QZWH11J,product_title Water Doodle Mat - Kids Painting Writing Doodle Toy Board - Color Doodle Drawing Mat Bring Magic Pens Educational Toys for Age 3 4 5 6 7 8 9 10 11 12 Year Old Girls Boys Age Toddler Gift (Pink),product_brand Toyk,product_color Pink,product_title Water Doodle Mat - Kids Painting Writing Doodle Toy Board - Color Doodle Drawing Mat Bring Magic Pens Educational Toys for Age 3 4 5 6 7 8 9 10 11 12 Year Old Girls Boys Age Toddler Gift (Pink)product_brand Toykproduct_color Pink,S
ipads tablets on sale new,B07KD6YDKC,"product_title Fire HD 10 Tablet (10.1"" 1080p full HD display, 32 GB) – Twilight Blue (2019 Release)",product_brand Amazon,product_color Twilight Blue,"product_title Fire HD 10 Tablet (10.1"" 1080p full HD display, 32 GB) – Twilight Blue (2019 Release)product_brand Amazonproduct_color Twilight Blue",S
cat candle holder,B07NPFXJFH,product_title Ebros Gothic Angel Winged Catgoyle Cat Gargoyle Candle Holder Statue Medieval Renaissance Notre Dame Fantasy Gargoyles Angelic Feline Cats Sculpture Halloween Home Decor (Left Facing),product_brand Ebros Gift,product_color Left Facing,product_title Ebros Gothic Angel Winged Catgoyle Cat Gargoyle Candle Holder Statue Medieval Renaissance Notre Dame Fantasy Gargoyles Angelic Feline Cats Sculpture Halloween Home Decor (Left Facing)product_brand Ebros Giftproduct_color Left Facing,E
gunsmoke dvd,B07BF9XQJW,"product_title Gunsmoke: The Thirteenth Season, Volume One",product_brand Paramount,product_color None,"product_title Gunsmoke: The Thirteenth Season, Volume Oneproduct_brand Paramountproduct_color None",E
magnetic wooden knofe board,B00286VJ3Q,"product_title Boker 30402 Wood Magnetic Knife Block, Makassar",product_brand Böker,product_color Makassar,"product_title Boker 30402 Wood Magnetic Knife Block, Makassarproduct_brand Bökerproduct_color Makassar",S
frog porcelain,B08C2L5G5W,product_title ZOOCRAFT Ceramic Frog Figurine Green Mountain Hand Painted Gift Miniature Collectible,product_brand ZOOCRAFT,product_color Green,product_title ZOOCRAFT Ceramic Frog Figurine Green Mountain Hand Painted Gift Miniature Collectibleproduct_brand ZOOCRAFTproduct_color Green,S
ale horn,B013TDLBIY,"product_title AleHorn Viking Drinking Horn - 16 ounces | 100% Authentic Ox Horn Mug for Beer, Ale, Mead | Viking Gifts For Men (1 Pc) | Weddings, Dad Gift, Beer Festival, Renaissance Faire Accessories",product_brand AleHorn,product_color Natural,"product_title AleHorn Viking Drinking Horn - 16 ounces | 100% Authentic Ox Horn Mug for Beer, Ale, Mead | Viking Gifts For Men (1 Pc) | Weddings, Dad Gift, Beer Festival, Renaissance Faire Accessoriesproduct_brand AleHornproduct_color Natural",E
face masks sheets,B01LMND8N4,"product_title DERMAL Collagen Essence Full Face Facial Mask Sheet, 16 Combo Pack B",product_brand DERMAL,product_color None,"product_title DERMAL Collagen Essence Full Face Facial Mask Sheet, 16 Combo Pack Bproduct_brand DERMALproduct_color None",E
